Age,Occupation,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_History_Age,Payment_of_Min_Amount,Payment_Behaviour,Monthly_Balance,Credit_Score
23,Scientist,19114.12,3,4.0,3,4.0,5,4.0,6.27,4.0,Good,809.98,22.4,No,Low_spent_Small_value_payments,223.45,2
28,Teacher,34847.84,2,4.0,6,1.0,7,1.0,7.42,2.0,Good,605.03,26.8,No,High_spent_Large_value_payments,484.59,2
28,Teacher,34847.84,2,4.0,6,1.0,3,1.0,6.42,2.0,Good,605.03,26.11,No,Low_spent_Small_value_payments,444.87,2
28,Teacher,34847.84,2,4.0,6,1.0,3,4.0,5.42,2.0,Good,605.03,27.2,No,Low_spent_Small_value_payments,356.08,2
54,Entrepreneur,30689.89,2,5.0,4,1.0,5,3.0,1.99,4.0,Good,632.46,17.4,No,Low_spent_Small_value_payments,409.95,1
23,Doctor,114838.41,2,5.0,7,3.0,11,11.0,11.24,8.0,Good,1377.74,21.8,No,High_spent_Small_value_payments,367.68,1
40,Teacher,33751.27,5,5.0,20,3.0,16,20.0,11.0,4.0,Standard,1328.93,19.3,Yes,High_spent_Large_value_payments,399.72,1
40,Teacher,33751.27,5,5.0,20,3.0,17,22.0,11.0,8.0,Standard,1328.93,19.5,Yes,High_spent_Large_value_payments,444.66,1
40,Teacher,33751.27,5,5.0,20,3.0,16,20.0,11.0,8.0,Standard,1328.93,19.7,Yes,High_spent_Medium_value_payments,406.99,1
33,Engineer,88640.24,3,6.0,1,2.0,4,2.0,3.51,3.0,Good,950.36,25.8,No,Low_spent_Small_value_payments,86.64,1
33,Engineer,88640.24,3,6.0,1,2.0,4,2.0,3.51,3.0,Good,950.36,25.9,No,High_spent_Medium_value_payments,561.88,2
35,Entrepreneur,54392.16,6,4.0,14,3.0,10,8.0,5.54,3.0,Standard,179.22,26.1,Yes,Low_spent_Large_value_payments,378.54,1
35,Entrepreneur,54392.16,6,4.0,14,3.0,10,7.0,0.54,3.0,Standard,179.22,27.1,Yes,Low_spent_Small_value_payments,147.43,1
35,Entrepreneur,54392.16,6,4.0,14,3.0,10,8.0,11.54,3.0,Standard,179.22,27.2,Yes,Low_spent_Small_value_payments,409.16,1
36,Entrepreneur,54392.16,6,4.0,14,3.0,10,8.0,5.54,7.0,Standard,179.22,27.4,Yes,Low_spent_Large_value_payments,464.16,1
36,Entrepreneur,54392.16,6,4.0,14,3.0,10,8.0,5.54,7.0,Standard,179.22,27.5,Yes,Low_spent_Small_value_payments,147.16,1
39,Manager,8701.545,6,5.0,32,7.0,23,9.0,8.86,6.0,Standard,2602.69,9.0,Yes,Low_spent_Large_value_payments,250.65,0
39,Manager,8701.545,6,5.0,32,7.0,22,7.0,8.86,6.0,Standard,2602.69,9.2,Yes,Low_spent_Small_value_payments,284.97,0
39,Manager,8701.545,6,5.0,32,7.0,22,9.0,8.86,6.0,Standard,2602.69,9.3,Yes,Low_spent_Small_value_payments,254.88,0
37,Entrepreneur,25546.26,8,7.0,14,5.0,16,10.0,7.83,5.0,Standard,758.44,18.4,Yes,Low_spent_Large_value_payments,319.04,1
37,Entrepreneur,25546.26,8,7.0,14,5.0,16,14.0,10.83,5.0,Standard,758.44,18.8,Yes,Low_spent_Small_value_payments,299.96,1
31,Scientist,31993.78,6,6.0,7,2.0,8,16.0,6.28,1.0,Standard,818.22,17.5,Yes,Low_spent_Large_value_payments,421.49,1
45,Teacher,32284.62,6,7.0,17,6.0,11,12.0,9.22,8.0,Standard,1283.37,6.5,Yes,Low_spent_Medium_value_payments,211.94,1
46,Teacher,32284.62,6,7.0,17,6.0,11,12.0,9.22,8.0,Standard,1283.37,6.6,Yes,Low_spent_Large_value_payments,353.59,1
46,Teacher,32284.62,6,7.0,17,6.0,10,12.0,9.22,8.0,Standard,1283.37,6.7,Yes,High_spent_Large_value_payments,391.01,1
46,Teacher,32284.62,6,7.0,17,6.0,11,12.0,9.22,8.0,Standard,1283.37,6.8,Yes,Low_spent_Small_value_payments,196.58,1
46,Teacher,32284.62,6,7.0,17,6.0,13,12.0,2.2200000000000006,10.0,Standard,1283.37,7.0,Yes,Low_spent_Small_value_payments,117.03,1
31,Entrepreneur,19300.34,6,7.0,17,5.0,51,19.0,9.95,7.0,Bad,2430.21,18.5,Yes,High_spent_Small_value_payments,300.24,1
32,Entrepreneur,19300.34,6,7.0,17,5.0,53,19.0,9.95,8.0,Bad,2430.21,18.9,Yes,Low_spent_Medium_value_payments,263.48,1
41,Media_Manager,10183.015,7,5.0,17,5.0,48,23.0,7.97,6.0,Bad,1672.43,10.3,Yes,Low_spent_Small_value_payments,267.99,0
31,Lawyer,12600.445,5,5.0,10,3.0,25,16.0,15.79,7.0,Standard,569.8,12.5,Yes,Low_spent_Small_value_payments,310.12,1
32,Lawyer,12600.445,5,5.0,10,3.0,25,19.0,15.79,7.0,Standard,569.8,12.8,Yes,Low_spent_Small_value_payments,294.14,0
32,Lawyer,12600.445,5,5.0,10,3.0,25,19.0,15.79,11.0,Standard,569.8,12.1,Yes,Low_spent_Small_value_payments,275.77,0
34,Mechanic,57983.12,9,8.0,31,8.0,48,21.0,10.27,17.0,Bad,3532.83,12.6,Yes,Low_spent_Small_value_payments,356.41,0
48,Entrepreneur,20787.69,8,6.0,14,3.0,22,14.0,1.13,3.0,Standard,614.6,17.1,No,Low_spent_Small_value_payments,253.33,1
48,Entrepreneur,20787.69,8,6.0,14,3.0,22,12.0,1.13,3.0,Standard,614.6,18.1,No,Low_spent_Large_value_payments,337.83,1
32,Accountant,43070.24,3,3.0,18,1.0,11,8.0,8.97,4.0,Standard,1233.1,19.2,Yes,Low_spent_Small_value_payments,224.64,1
32,Accountant,43070.24,3,3.0,18,1.0,15,8.0,12.97,4.0,Standard,1233.1,19.4,Yes,High_spent_Large_value_payments,521.13,1
32,Accountant,43070.24,3,3.0,18,1.0,10,8.0,8.97,8.0,Standard,1233.1,19.6,Yes,Low_spent_Large_value_payments,423.55,1
32,Accountant,43070.24,3,3.0,18,1.0,8,8.0,4.9700000000000015,8.0,Standard,1233.1,19.7,Yes,High_spent_Large_value_payments,530.31,1
32,Accountant,43070.24,3,3.0,18,1.0,11,8.0,8.97,8.0,Standard,1233.1,19.8,Yes,Low_spent_Large_value_payments,493.02,1
40,Architect,28572.39,6,3.0,15,3.0,25,12.0,4.89,2.0,Standard,400.07,30.7,Yes,High_spent_Medium_value_payments,339.77,1
55,Scientist,20186.02,1,5.0,1,2.0,4,3.0,6.83,4.0,Good,413.32,18.5,No,High_spent_Medium_value_payments,362.59,2
55,Scientist,20186.02,1,5.0,1,2.0,5,6.0,6.83,4.0,Good,413.32,18.9,No,Low_spent_Small_value_payments,307.12,1
43,Musician,18627.64,7,7.0,19,6.0,31,21.0,5.07,7.0,Bad,1793.54,18.1,Yes,Low_spent_Medium_value_payments,299.76,0
43,Musician,18627.64,7,7.0,19,6.0,31,21.0,5.07,7.0,Bad,1793.54,18.11,Yes,Low_spent_Small_value_payments,258.44,0
43,Musician,18627.64,7,7.0,19,6.0,31,22.0,5.07,7.0,Bad,1793.54,19.0,Yes,Low_spent_Medium_value_payments,277.8,1
43,Musician,18627.64,7,7.0,19,6.0,31,21.0,6.07,7.0,Bad,1793.54,19.2,Yes,Low_spent_Medium_value_payments,244.0,0
44,Musician,18627.64,7,7.0,19,6.0,31,18.0,5.07,7.0,Bad,1793.54,19.4,Yes,Low_spent_Small_value_payments,264.79,0
21,Engineer,12986.745,4,3.0,10,2.0,29,17.0,11.8,7.0,Standard,1489.49,8.9,Yes,Low_spent_Medium_value_payments,315.01,1
